Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,525.75,531.5,515.0,516.75,67557.0,225500.0
2015-10-06,514.0,527.0,513.0,526.25,67229.0,223350.0
2015-10-05,512.25,518.0,508.75,515.5,50267.0,227432.0
2015-10-02,517.75,523.0,511.75,513.25,61353.0,224811.0
2015-10-01,512.0,523.75,511.75,518.25,92760.0,221421.0
2015-09-30,503.25,515.5,498.25,512.75,100082.0,220991.0
2015-09-29,506.0,509.75,500.5,503.75,45715.0,222889.0
2015-09-28,508.5,515.5,500.0,505.5,65965.0,229954.0
2015-09-25,497.75,510.5,496.25,507.75,56874.0,229223.0
2015-09-24,507.0,509.0,496.75,497.25,53459.0,229576.0
2015-09-23,494.5,508.5,493.75,507.5,73894.0,228567.0
2015-09-22,496.5,496.75,488.25,495.5,50082.0,232754.0
2015-09-21,485.75,499.25,480.5,496.75,64325.0,233065.0
2015-09-18,481.25,488.75,480.0,486.75,43255.0,232287.0
2015-09-17,488.25,489.75,480.5,481.5,40378.0,232273.0
2015-09-16,494.75,495.25,483.0,488.25,56084.0,232899.0
2015-09-15,500.0,503.25,492.25,494.75,56712.0,229726.0
2015-09-14,486.0,501.75,485.75,501.25,78801.0,232416.0
2015-09-11,478.0,485.5,468.5,485.0,73015.0,230244.0
2015-09-10,472.25,479.5,471.5,478.0,40087.0,229765.0
2015-09-09,473.0,481.0,471.0,472.25,55628.0,228706.0
2015-09-08,468.0,476.75,468.0,475.0,51179.0,230601.0
2015-09-04,466.0,469.75,463.0,467.75,46570.0,232167.0
2015-09-03,479.5,479.5,464.75,465.25,85143.0,234555.0
2015-09-02,485.75,490.0,476.5,479.0,77053.0,239171.0
2015-09-01,484.5,491.5,482.25,486.25,72080.0,240746.0
2015-08-31,482.0,486.0,475.35,484.5,56684.2,191048.4
2015-08-28,487.9,491.1,480.05,481.05,52371.6,144778.6
2015-08-27,492.15,497.4,483.95,486.45,68578.8,106304.2
2015-08-26,499.0,500.65,489.4,490.65,32219.0,74079.6
2015-08-25,504.75,511.25,492.5,495.0,28349.0,49579.0
2015-08-24,498.75,504.5,486.75,503.25,35798.0,63343.0
