Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,127.7,130.25,124.5,126.05,22610.0,99488.0
2015-10-06,127.05,129.05,126.15,128.1,14125.0,101799.0
2015-10-05,125.0,129.65,124.3,127.55,21256.0,104742.0
2015-10-02,121.25,125.25,119.35,124.3,18917.0,105405.0
2015-10-01,121.3,122.45,119.1,120.75,12246.0,105246.0
2015-09-30,121.1,122.6,118.85,121.35,15757.0,105977.0
2015-09-29,119.15,122.9,117.95,120.85,15803.0,108604.0
2015-09-28,122.7,122.7,118.3,119.15,13539.0,108201.0
2015-09-25,120.0,123.35,119.9,122.7,21660.0,108819.0
2015-09-24,115.75,119.45,114.55,118.3,16162.0,109595.0
2015-09-23,115.45,117.2,114.75,116.2,13875.0,109641.0
2015-09-22,116.8,117.3,115.05,115.45,12104.0,108894.0
2015-09-21,118.0,119.8,116.35,117.25,14130.0,108736.0
2015-09-18,118.9,120.3,116.85,118.35,13150.0,108267.0
2015-09-17,118.0,119.15,116.65,118.55,12677.0,108453.0
2015-09-16,118.35,119.8,117.4,118.1,9662.0,108618.0
2015-09-15,120.2,121.4,117.75,118.7,11830.0,108526.0
2015-09-14,116.9,121.2,116.85,120.2,17068.0,109449.0
2015-09-11,116.65,118.1,116.0,116.55,11218.0,110391.0
2015-09-10,120.0,120.2,116.25,116.4,20623.0,108998.0
2015-09-09,120.75,122.45,119.2,121.1,11913.0,107791.0
2015-09-08,119.15,121.75,118.5,121.0,10929.0,107370.0
2015-09-04,119.5,121.45,118.5,119.15,8609.0,107595.0
2015-09-03,118.9,120.4,117.75,119.55,13154.0,106579.0
2015-09-02,121.05,121.8,118.15,118.35,19672.0,109020.0
2015-09-01,124.25,124.9,120.55,120.8,14446.0,108440.0
2015-08-31,124.8,125.68,121.51,123.55,10459.4,86042.8
2015-08-28,123.0,123.88,121.89,122.61,6759.0,64048.2
2015-08-27,121.57,123.87,121.44,122.45,5823.6,42830.4
2015-08-26,118.25,120.04,117.73,119.4,3483.6,21373.4
2015-08-25,118.4,120.15,117.05,117.05,44.0,158.0
2015-08-24,121.2,121.95,117.15,117.5,112.0,267.0
2015-08-21,128.55,128.75,121.9,121.9,279.0,2003.0
2015-08-20,131.5,131.85,127.55,127.65,13600.0,10580.0
2015-08-19,136.0,136.9,130.9,131.15,13671.0,20498.0
2015-08-18,134.7,136.35,133.1,135.3,10267.0,25605.0
2015-08-17,135.95,137.35,134.35,134.75,14377.0,32346.0
2015-08-14,137.5,139.0,136.3,137.5,20080.0,41054.0
2015-08-13,131.95,138.0,131.9,137.05,30111.0,49197.0
2015-08-12,137.25,138.05,131.4,131.85,33088.0,58585.0
2015-08-11,133.75,137.55,133.4,137.2,35439.0,69013.0
2015-08-10,127.15,133.9,127.0,133.5,40376.0,76664.0
2015-08-07,124.25,128.85,123.65,127.8,26257.0,82288.0
2015-08-06,125.5,128.45,123.95,124.25,23697.0,85011.0
2015-08-05,124.5,126.45,123.25,125.9,21681.0,89425.0
2015-08-04,123.9,126.2,123.0,124.9,18700.0,92207.0
2015-08-03,125.1,125.2,121.75,123.95,17585.0,92564.0
2015-07-31,125.15,127.65,124.15,125.25,20067.0,94433.0
2015-07-30,122.2,125.35,122.05,124.9,15863.0,95249.0
2015-07-29,120.5,123.1,120.1,122.15,12334.0,95827.0
2015-07-28,119.95,122.6,119.9,120.25,17239.0,97120.0
2015-07-27,122.2,122.3,119.85,120.4,16165.0,100121.0
2015-07-24,122.4,124.6,120.65,122.25,14995.0,101279.0
2015-07-23,125.45,126.35,121.1,121.55,23520.0,99487.0
2015-07-22,126.4,128.0,124.45,125.05,14510.0,98780.0
2015-07-21,127.1,128.2,125.7,125.95,9501.0,98471.0
2015-07-20,127.45,130.15,126.65,127.45,12781.0,97947.0
2015-07-17,128.4,129.55,127.35,128.4,8533.0,97650.0
2015-07-16,129.05,130.3,127.45,128.85,10688.0,98432.0
2015-07-15,131.2,132.2,127.7,129.75,13632.0,99477.0
2015-07-14,128.7,132.5,128.4,132.0,16793.0,100796.0
2015-07-13,127.95,129.7,127.4,128.8,14688.0,102425.0
2015-07-10,125.5,127.15,125.05,126.25,10731.0,102675.0
2015-07-09,125.95,127.55,124.25,125.25,12395.0,102251.0
2015-07-08,124.35,125.7,123.85,124.95,11875.0,103192.0
2015-07-07,125.55,126.25,123.65,124.7,17518.0,102290.0
2015-07-06,127.35,128.15,125.05,125.15,14788.0,100119.0
2015-07-02,127.3,128.35,126.4,127.4,13216.0,98845.0
2015-07-01,130.0,132.95,126.75,127.0,23356.0,97451.0
2015-06-30,132.53,133.13,129.93,132.05,13497.2,78560.6
2015-06-29,131.07,132.85,128.79,131.76,9198.4,58987.8
2015-06-26,132.31,135.88,131.17,132.4,6871.0,39926.0
2015-06-25,132.5,133.91,130.98,133.7,3609.8,21204.8
2015-06-24,128.4,133.85,127.9,133.3,216.0,2887.0
2015-06-23,129.65,132.5,126.85,127.7,168.0,3023.0
2015-06-22,127.0,130.5,126.65,130.35,617.0,3802.0
2015-06-19,128.75,129.8,124.8,127.15,9164.0,8933.0
2015-06-18,127.55,130.2,126.6,128.7,11741.0,17583.0
2015-06-17,129.0,130.0,126.45,126.65,11302.0,23362.0
2015-06-16,128.75,130.35,127.9,129.35,8967.0,27111.0
