Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,1.5228,1.5333,1.5217,1.5313,82278.0,159772.0
2015-10-06,1.5141,1.5238,1.5133,1.5224,59518.0,162802.0
2015-10-05,1.5172,1.5239,1.513,1.5148,79154.0,160435.0
2015-10-02,1.5125,1.5231,1.5123,1.5184,80079.0,159577.0
2015-10-01,1.5121,1.5175,1.5101,1.5126,63467.0,157886.0
2015-09-30,1.5147,1.5208,1.51,1.5113,177759.0,155262.0
2015-09-29,1.5164,1.5199,1.5123,1.5152,75100.0,151172.0
2015-09-28,1.5199,1.5236,1.5152,1.5166,62323.0,151670.0
2015-09-25,1.5217,1.5255,1.5129,1.5187,78847.0,149002.0
2015-09-24,1.5242,1.5283,1.5194,1.5228,81272.0,150153.0
2015-09-23,1.5354,1.5357,1.5214,1.5254,102314.0,146041.0
2015-09-22,1.5501,1.5522,1.5334,1.536,85517.0,151412.0
2015-09-21,1.5518,1.5561,1.5474,1.5498,61212.0,149303.0
2015-09-18,1.5578,1.565,1.5507,1.5545,93914.0,143486.0
2015-09-17,1.5488,1.5622,1.548,1.5608,92892.0,142184.0
2015-09-16,1.5334,1.5522,1.5323,1.5481,103712.0,145329.0
2015-09-15,1.5419,1.5451,1.5322,1.5324,58947.0,145405.0
2015-09-14,1.5421,1.5463,1.5365,1.5427,55323.0,145236.0
2015-09-11,1.5436,1.5455,1.5393,1.5419,74251.0,127627.0
2015-09-10,1.5356,1.5469,1.5332,1.546,87238.0,80769.0
2015-09-09,1.5383,1.5396,1.534,1.5358,64964.0,36052.0
2015-09-08,1.5199,1.5404,1.5136,1.5387,38973.0,11484.0
2015-09-04,1.5236,1.5276,1.5158,1.5177,3322.0,10295.0
2015-09-03,1.5299,1.5306,1.5212,1.5249,8805.0,3936.0
2015-09-02,1.5294,1.5317,1.5256,1.5293,2004.0,3222.0
2015-09-01,1.5337,1.5398,1.5292,1.5299,1160.0,2903.0
2015-08-31,1.54022,1.54286,1.53332,1.53424,13660.8,35025.2
2015-08-28,1.54064,1.5436,1.53294,1.53852,40877.6,69431.4
2015-08-27,1.54678,1.55034,1.53662,1.54198,68601.8,104407.6
2015-08-26,1.56864,1.5716,1.54494,1.54644,123767.0,140429.4
2015-08-25,1.5759,1.5817,1.5678,1.5683,101773.0,175396.0
2015-08-24,1.5685,1.5802,1.5628,1.5774,152621.0,169512.0
2015-08-21,1.569,1.5721,1.5656,1.5696,90710.0,168883.0
2015-08-20,1.5679,1.57,1.5604,1.5675,87359.0,166823.0
2015-08-19,1.5657,1.5698,1.5633,1.5688,72125.0,170649.0
2015-08-18,1.5583,1.5714,1.5559,1.5661,101939.0,163756.0
2015-08-17,1.5646,1.5689,1.5575,1.5582,64618.0,163003.0
2015-08-14,1.5609,1.5661,1.5585,1.5649,65164.0,159184.0
2015-08-13,1.5611,1.5634,1.5569,1.5611,59731.0,161740.0
2015-08-12,1.557,1.5657,1.5531,1.561,105496.0,156994.0
2015-08-11,1.5585,1.5613,1.5551,1.5557,74674.0,160674.0
2015-08-10,1.5487,1.5603,1.5454,1.56,90477.0,168016.0
2015-08-07,1.5511,1.5546,1.5419,1.549,120399.0,170518.0
2015-08-06,1.5598,1.5632,1.5462,1.5513,148806.0,173808.0
2015-08-05,1.5562,1.5653,1.552,1.5593,100633.0,168379.0
2015-08-04,1.5582,1.563,1.5553,1.5563,85093.0,170475.0
2015-08-03,1.5623,1.5641,1.556,1.5578,73899.0,173798.0
2015-07-31,1.5594,1.5674,1.5544,1.561,117059.0,170458.0
2015-07-30,1.5596,1.5641,1.5558,1.5595,61949.0,174382.0
2015-07-29,1.5607,1.5685,1.5582,1.561,80038.0,172974.0
2015-07-28,1.5554,1.5623,1.5522,1.5591,72424.0,169183.0
2015-07-27,1.5505,1.559,1.5485,1.5551,71486.0,170835.0
2015-07-24,1.5507,1.5521,1.5461,1.5505,47775.0,173456.0
2015-07-23,1.5604,1.5665,1.5491,1.5507,91317.0,169101.0
2015-07-22,1.555,1.5642,1.5545,1.5593,85169.0,164505.0
2015-07-21,1.555,1.5585,1.5522,1.5548,62881.0,165354.0
2015-07-20,1.5598,1.5622,1.5531,1.5562,54068.0,160030.0
2015-07-17,1.5601,1.5668,1.5547,1.5606,63023.0,158759.0
2015-07-16,1.5631,1.5644,1.5553,1.5599,60838.0,157600.0
2015-07-15,1.5625,1.5669,1.557,1.5623,76086.0,156848.0
2015-07-14,1.548,1.5636,1.5443,1.5624,95833.0,160194.0
2015-07-13,1.551,1.5582,1.5473,1.5476,78135.0,159707.0
2015-07-10,1.5369,1.5546,1.5357,1.5497,97196.0,164556.0
2015-07-09,1.5356,1.5413,1.5337,1.5356,65540.0,167185.0
2015-07-08,1.5447,1.546,1.5323,1.5347,85565.0,168237.0
2015-07-07,1.5598,1.5601,1.5405,1.5436,104248.0,171668.0
2015-07-06,1.5533,1.5638,1.5524,1.5596,69292.0,172118.0
2015-07-02,1.5608,1.5632,1.5555,1.5592,64202.0,176348.0
2015-07-01,1.5692,1.573,1.558,1.5593,88681.0,181160.0
2015-06-30,1.5727,1.5769,1.5685,1.5725,98265.0,185428.0
2015-06-29,1.5669,1.5781,1.565,1.5728,108199.0,183831.0
2015-06-26,1.5735,1.5758,1.57,1.5723,62863.0,184730.0
2015-06-25,1.5698,1.5762,1.5668,1.5724,75717.0,179288.0
2015-06-24,1.5719,1.5794,1.5659,1.5693,76508.0,178411.0
2015-06-23,1.5818,1.5822,1.57,1.5706,93478.0,172544.0
2015-06-22,1.586,1.5902,1.5796,1.5821,75060.0,167208.0
2015-06-19,1.5872,1.5887,1.5826,1.5871,57645.0,164076.0
2015-06-18,1.5827,1.5924,1.5796,1.5863,106747.0,153628.0
2015-06-17,1.5641,1.5836,1.5617,1.5819,112249.0,146421.0
2015-06-16,1.5589,1.5644,1.5531,1.5638,73590.0,143365.0
