Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,1.128,1.1296,1.1222,1.1263,183493.0,334164.0
2015-10-06,1.1197,1.1292,1.1184,1.1284,159864.0,324670.0
2015-10-05,1.1228,1.1301,1.1185,1.1192,166876.0,325683.0
2015-10-02,1.12,1.1331,1.1162,1.1241,295509.0,323130.0
2015-10-01,1.1185,1.1223,1.1148,1.1196,167167.0,320614.0
2015-09-30,1.1263,1.1275,1.1171,1.1179,199777.0,319725.0
2015-09-29,1.1256,1.1295,1.1207,1.1272,209876.0,319635.0
2015-09-28,1.1206,1.1262,1.116,1.1244,193193.0,318283.0
2015-09-25,1.1192,1.1227,1.113,1.1203,216443.0,316721.0
2015-09-24,1.1201,1.1311,1.1179,1.1234,244468.0,318270.0
2015-09-23,1.114,1.1229,1.112,1.1222,222665.0,312736.0
2015-09-22,1.1205,1.1223,1.1128,1.1147,197988.0,310122.0
2015-09-21,1.1304,1.1347,1.1197,1.1206,200394.0,312015.0
2015-09-18,1.1433,1.1476,1.1285,1.1368,232132.0,316571.0
2015-09-17,1.1307,1.1457,1.1302,1.1413,272446.0,311070.0
2015-09-16,1.1282,1.1339,1.1232,1.1294,177555.0,308914.0
2015-09-15,1.1333,1.1348,1.1276,1.129,153708.0,310814.0
2015-09-14,1.1354,1.1391,1.1302,1.1332,156093.0,306227.0
2015-09-11,1.1295,1.1368,1.1272,1.1353,240021.0,270958.0
2015-09-10,1.1229,1.1313,1.1189,1.1302,210394.0,166738.0
2015-09-09,1.1219,1.1234,1.115,1.1214,134852.0,92750.0
2015-09-08,1.1172,1.1247,1.1141,1.1203,95098.0,38178.0
2015-09-04,1.1138,1.122,1.1108,1.1168,21285.0,31293.0
2015-09-03,1.124,1.1262,1.1106,1.1135,14852.0,25636.0
2015-09-02,1.1328,1.1328,1.1236,1.1258,7501.0,23594.0
2015-09-01,1.1233,1.1353,1.1229,1.1313,9203.0,20133.0
2015-08-31,1.11922,1.12778,1.11892,1.12526,40395.2,84331.6
2015-08-28,1.1256,1.13222,1.11682,1.11952,89564.2,149171.0
2015-08-27,1.13228,1.13734,1.12118,1.12744,163122.6,218737.8
2015-08-26,1.15252,1.15672,1.12976,1.13552,278211.0,288946.0
2015-08-25,1.1585,1.1609,1.1398,1.1429,391188.0,363037.0
2015-08-24,1.1381,1.1718,1.1373,1.1603,562888.0,357547.0
2015-08-21,1.124,1.1394,1.1233,1.1358,307558.0,354840.0
2015-08-20,1.1126,1.1249,1.111,1.1202,247041.0,348258.0
2015-08-19,1.1031,1.1139,1.1021,1.1134,249640.0,345281.0
2015-08-18,1.1084,1.1098,1.102,1.1023,154948.0,346834.0
2015-08-17,1.1119,1.113,1.1062,1.1085,166584.0,347978.0
2015-08-14,1.1157,1.1193,1.1102,1.1124,170057.0,351075.0
2015-08-13,1.1165,1.1193,1.1084,1.1146,197144.0,353191.0
2015-08-12,1.1046,1.122,1.1028,1.1174,311498.0,350270.0
2015-08-11,1.1022,1.1093,1.0965,1.1035,258533.0,353550.0
2015-08-10,1.0965,1.1047,1.093,1.1024,166155.0,358391.0
2015-08-07,1.0929,1.0984,1.086,1.0976,262879.0,361481.0
2015-08-06,1.0906,1.095,1.0879,1.0926,145953.0,362977.0
2015-08-05,1.0896,1.0948,1.0852,1.0901,232615.0,360882.0
2015-08-04,1.0959,1.0994,1.0885,1.0897,169912.0,357908.0
2015-08-03,1.0987,1.1002,1.0947,1.0954,150848.0,358532.0
2015-07-31,1.0938,1.1121,1.0927,1.0971,312456.0,356410.0
2015-07-30,1.0988,1.0996,1.0899,1.0924,219169.0,348303.0
2015-07-29,1.1069,1.1091,1.0973,1.1015,207964.0,351439.0
2015-07-28,1.11,1.1106,1.1029,1.1049,154260.0,355777.0
2015-07-27,1.0984,1.1137,1.0977,1.1105,220864.0,360631.0
2015-07-24,1.0991,1.1003,1.0932,1.0989,160739.0,360103.0
2015-07-23,1.0934,1.1026,1.0929,1.1006,240611.0,356018.0
2015-07-22,1.0946,1.0975,1.0877,1.0912,176683.0,361053.0
2015-07-21,1.083,1.0977,1.082,1.095,217558.0,359542.0
2015-07-20,1.084,1.0878,1.0828,1.0837,126470.0,359559.0
2015-07-17,1.0884,1.0916,1.0836,1.0857,148181.0,356099.0
2015-07-16,1.0953,1.0972,1.0864,1.0883,227103.0,356600.0
2015-07-15,1.1018,1.1044,1.0938,1.0957,371407.0,353329.0
2015-07-14,1.1015,1.1097,1.0974,1.1018,192182.0,353765.0
2015-07-13,1.1142,1.1207,1.1003,1.1007,253151.0,347552.0
2015-07-10,1.1053,1.1226,1.1053,1.1138,276381.0,348640.0
2015-07-09,1.1084,1.1136,1.1001,1.1022,170121.0,349670.0
2015-07-08,1.1008,1.1104,1.0985,1.1071,214606.0,351515.0
2015-07-07,1.1066,1.1068,1.0927,1.0986,250246.0,345081.0
2015-07-06,1.1012,1.1129,1.0992,1.1058,197823.0,346433.0
2015-07-02,1.1064,1.1134,1.1043,1.1096,173983.0,346666.0
2015-07-01,1.1144,1.1187,1.1055,1.1059,197642.0,342987.0
2015-06-30,1.1242,1.1256,1.1124,1.1156,247335.0,349116.0
2015-06-29,1.1001,1.1292,1.0962,1.1265,371557.0,342878.0
2015-06-26,1.1211,1.1232,1.1141,1.1172,179704.0,339025.0
2015-06-25,1.1215,1.1239,1.1165,1.1214,177678.0,339960.0
2015-06-24,1.1179,1.1247,1.1171,1.1218,208830.0,342517.0
2015-06-23,1.1353,1.136,1.1146,1.118,266269.0,340902.0
2015-06-22,1.138,1.1424,1.1324,1.135,197777.0,341054.0
2015-06-19,1.1382,1.1416,1.1305,1.1366,162015.0,345535.0
2015-06-18,1.1355,1.145,1.1342,1.1383,263910.0,344841.0
2015-06-17,1.126,1.1372,1.122,1.1347,239977.0,347733.0
2015-06-16,1.1297,1.1344,1.1218,1.1254,186065.0,347009.0
2015-06-15,1.1234,1.1309,1.1204,1.1297,202994.0,345300.0
2015-06-12,1.1255,1.1312,1.1165,1.1275,316753.0,317392.0
2015-06-11,1.1334,1.1345,1.1194,1.1277,183337.0,232720.0
2015-06-10,1.1293,1.1401,1.1275,1.133,167361.0,123511.0
2015-06-09,1.1297,1.1361,1.1228,1.1295,98061.0,79768.0
2015-06-08,1.1117,1.1309,1.1099,1.1291,56311.0,43612.0
2015-06-05,1.1239,1.1297,1.1064,1.1134,21205.0,37358.0
2015-06-04,1.1285,1.1395,1.1238,1.1259,15441.0,32532.0
2015-06-03,1.1175,1.1301,1.1095,1.1265,24653.0,22483.0
2015-06-02,1.094,1.121,1.0933,1.1183,19906.0,17104.0
2015-06-01,1.1,1.1,1.0904,1.0949,7653.0,15165.0
2015-05-29,1.09694,1.102,1.094,1.09942,54540.0,94127.0
2015-05-28,1.09098,1.09698,1.08774,1.09654,118508.0,174274.6
2015-05-27,1.0882,1.09376,1.08274,1.0898,195911.8,255903.6
2015-05-26,1.09894,1.10156,1.08692,1.0877,255133.8,333861.6
2015-05-22,1.1111,1.1212,1.1005,1.1043,291461.0,413350.0
2015-05-21,1.1095,1.1185,1.1082,1.1134,241637.0,415458.0
2015-05-20,1.1151,1.1156,1.1066,1.112,296163.0,419439.0
