Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,99.855,99.855,99.85,99.85,7994.0,210602.0
2015-10-06,99.855,99.855,99.85,99.85,10988.0,208823.0
2015-10-05,99.855,99.855,99.85,99.85,5005.0,208142.0
2015-10-02,99.835,99.86,99.83,99.85,64351.0,205944.0
2015-10-01,99.83,99.84,99.83,99.835,26545.0,199556.0
2015-09-30,99.844,99.845,99.836,99.84,12661.2,196616.0
2015-09-29,99.845,99.85,99.84,99.845,15908.4,193603.6
2015-09-28,99.848,99.852,99.845,99.845,33728.6,193478.6
2015-09-25,99.849,99.855,99.849,99.85,14109.2,198024.2
2015-09-24,99.86,99.86,99.855,99.855,16858.0,203882.0
2015-09-23,99.86,99.86,99.855,99.855,10314.0,201702.0
2015-09-22,99.855,99.86,99.855,99.855,31022.0,200405.0
2015-09-21,99.855,99.86,99.855,99.855,7224.0,204331.0
2015-09-18,99.855,99.86,99.855,99.855,37913.0,214500.0
2015-09-17,99.795,99.86,99.79,99.855,180112.0,246916.0
2015-09-16,99.795,99.805,99.79,99.805,76867.0,228239.0
2015-09-15,99.805,99.805,99.795,99.805,78339.0,224559.0
2015-09-14,99.805,99.81,99.795,99.805,56484.0,203096.0
2015-09-11,99.805,99.81,99.8,99.805,51843.0,182936.0
2015-09-10,99.805,99.81,99.8,99.805,39075.0,172843.0
2015-09-09,99.805,99.805,99.8,99.805,29741.0,166284.0
2015-09-08,99.795,99.81,99.79,99.805,36120.0,164767.0
2015-09-04,99.8,99.82,99.78,99.8,73413.0,158716.0
2015-09-03,99.795,99.805,99.79,99.8,43602.0,162788.0
2015-09-02,99.795,99.8,99.785,99.795,30619.0,162736.0
2015-09-01,99.77,99.8,99.77,99.79,49184.0,149463.0
2015-08-31,99.784,99.794,99.78,99.789,13917.6,139418.4
2015-08-28,99.812,99.819,99.798,99.8,30909.2,124777.0
2015-08-27,99.83,99.83,99.816,99.823,15889.2,109562.8
2015-08-26,99.834,99.836,99.824,99.835,19553.0,92903.4
2015-08-25,99.84,99.84,99.83,99.835,7189.0,77596.0
2015-08-24,99.835,99.845,99.83,99.84,16688.0,79225.0
2015-08-21,99.835,99.84,99.83,99.83,11212.0,79398.0
2015-08-20,99.835,99.835,99.825,99.83,10322.0,77736.0
2015-08-19,99.81,99.835,99.81,99.83,13263.0,76077.0
2015-08-18,99.815,99.82,99.81,99.81,4765.0,74613.0
2015-08-17,99.805,99.815,99.805,99.81,5876.0,74186.0
2015-08-14,99.81,99.815,99.805,99.81,4410.0,73928.0
2015-08-13,99.815,99.815,99.805,99.815,8998.0,72505.0
2015-08-12,99.815,99.83,99.815,99.815,22749.0,77374.0
2015-08-11,99.805,99.82,99.805,99.815,6835.0,78269.0
2015-08-10,99.805,99.815,99.8,99.805,5171.0,77474.0
2015-08-07,99.81,99.855,99.795,99.805,18227.0,75656.0
2015-08-06,99.81,99.815,99.81,99.81,816.0,75368.0
2015-08-05,99.815,99.815,99.805,99.81,16308.0,73898.0
2015-08-04,99.825,99.83,99.81,99.815,9296.0,73184.0
2015-08-03,99.825,99.83,99.825,99.825,2601.0,74363.0
2015-07-31,99.825,99.838,99.821,99.833,16010.6,87464.4
2015-07-30,99.841,99.843,99.835,99.838,9919.8,99270.6
2015-07-29,99.846,99.854,99.844,99.849,22556.4,107930.0
2015-07-28,99.857,99.857,99.852,99.857,5059.2,119786.8
2015-07-27,99.865,99.865,99.86,99.865,1789.0,132599.0
