Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,1.4293,1.4488,1.388,1.39,60327.0,109290.0
2015-10-06,1.3859,1.4456,1.3744,1.4362,48393.0,113368.0
2015-10-05,1.3416,1.4008,1.336,1.3853,46262.0,118423.0
2015-10-02,1.37,1.3764,1.3083,1.3414,64753.0,121213.0
2015-10-01,1.371,1.4233,1.3494,1.3668,72657.0,126118.0
2015-09-30,1.34454,1.38416,1.3364,1.37124,57263.0,105868.2
2015-09-29,1.33236,1.36682,1.32928,1.35498,36180.2,84862.0
2015-09-28,1.38378,1.38854,1.33646,1.34232,25131.0,65548.8
2015-09-25,1.36794,1.39716,1.3561,1.39258,24788.0,49553.8
2015-09-24,1.3908,1.3964,1.3516,1.3652,20174.0,35673.0
2015-09-23,1.4148,1.4531,1.3786,1.3816,22953.0,40791.0
2015-09-22,1.4064,1.424,1.3682,1.4164,22782.0,44286.0
2015-09-21,1.3573,1.4099,1.357,1.4031,26243.0,51656.0
2015-09-18,1.3851,1.4079,1.3454,1.3562,32088.0,57830.0
2015-09-17,1.3849,1.3903,1.3524,1.376,38236.0,63519.0
2015-09-16,1.3417,1.4074,1.3313,1.3821,45872.0,67262.0
2015-09-15,1.3036,1.3445,1.3025,1.3329,39429.0,70804.0
2015-09-14,1.3721,1.3794,1.3,1.3043,47401.0,74966.0
2015-09-11,1.3875,1.3935,1.3425,1.3699,44133.0,82364.0
2015-09-10,1.3556,1.4027,1.3436,1.3936,51573.0,88434.0
2015-09-09,1.4,1.4158,1.3557,1.3597,47789.0,93118.0
2015-09-08,1.415,1.4215,1.3727,1.4021,58404.0,101294.0
2015-09-04,1.4296,1.4419,1.4021,1.4182,42960.0,103084.0
2015-09-03,1.4267,1.4868,1.416,1.4371,44485.0,106811.0
2015-09-02,1.3767,1.4437,1.3674,1.4252,60284.0,109994.0
2015-09-01,1.4633,1.4745,1.3725,1.3956,50394.0,113121.0
2015-08-31,1.41108,1.53184,1.3629,1.52736,48400.0,91732.2
2015-08-28,1.37942,1.47118,1.356,1.44698,55420.0,72470.0
2015-08-27,1.32338,1.4097,1.32114,1.40556,36288.0,54162.8
2015-08-26,1.41516,1.41866,1.32558,1.33004,32980.4,44682.6
2015-08-25,1.4635,1.4942,1.4313,1.4386,19354.0,28943.0
2015-08-24,1.5459,1.5587,1.447,1.471,27052.0,34507.0
2015-08-21,1.528,1.552,1.4749,1.5449,33549.0,35905.0
2015-08-20,1.5515,1.564,1.514,1.5346,32221.0,41997.0
2015-08-19,1.6335,1.6379,1.5458,1.5592,41810.0,48842.0
2015-08-18,1.6524,1.6598,1.6277,1.6468,36518.0,53157.0
2015-08-17,1.6866,1.6959,1.6478,1.6542,49424.0,62989.0
2015-08-14,1.7129,1.7193,1.6706,1.6869,41409.0,69388.0
2015-08-13,1.7641,1.77,1.709,1.7141,72545.0,76976.0
2015-08-12,1.697,1.7725,1.69,1.7635,98226.0,86802.0
2015-08-11,1.6934,1.7109,1.6566,1.6937,55411.0,90406.0
2015-08-10,1.6218,1.6959,1.6171,1.694,57067.0,95724.0
2015-08-07,1.6525,1.6576,1.6048,1.623,55161.0,102406.0
2015-08-06,1.6718,1.679,1.6211,1.6478,54209.0,108483.0
2015-08-05,1.6977,1.719,1.6563,1.6705,49777.0,110468.0
2015-08-04,1.6832,1.7092,1.6738,1.6852,45765.0,111154.0
2015-08-03,1.767,1.769,1.6722,1.6745,68059.0,114657.0
2015-07-31,1.77688,1.80352,1.765,1.7858,41540.6,91137.0
2015-07-30,1.79366,1.8233,1.78454,1.79256,34113.0,72298.2
2015-07-29,1.77302,1.81172,1.75974,1.79544,30514.2,54231.4
2015-07-28,1.79,1.81698,1.77068,1.79224,20457.4,39124.0
2015-07-27,1.8283,1.833,1.8013,1.8204,19155.0,26542.0
2015-07-24,1.8553,1.8632,1.8148,1.8282,18830.0,31258.0
2015-07-23,1.857,1.888,1.8456,1.8521,20798.0,35351.0
2015-07-22,1.9165,1.9165,1.8587,1.8676,25576.0,38970.0
2015-07-21,1.927,1.935,1.8902,1.9209,30817.0,43727.0
2015-07-20,1.9331,1.9448,1.915,1.9303,32358.0,49446.0
2015-07-17,1.8935,1.9347,1.8892,1.9286,51545.0,55022.0
2015-07-16,1.8624,1.9069,1.8552,1.8967,42774.0,58332.0
2015-07-15,1.924,1.9289,1.8527,1.8589,53489.0,67140.0
2015-07-14,1.9389,1.9467,1.891,1.9307,55347.0,71628.0
2015-07-13,2.0165,2.0192,1.9335,1.9396,60402.0,77909.0
2015-07-10,2.0286,2.0579,1.987,2.0165,65160.0,82436.0
2015-07-09,2.0066,2.059,1.9821,2.0451,67696.0,85640.0
2015-07-08,1.9677,2.0149,1.9415,1.999,76893.0,90213.0
2015-07-07,1.937,1.9752,1.9074,1.9494,69279.0,94059.0
2015-07-06,1.9995,2.0365,1.9205,1.9237,70531.0,98773.0
2015-07-02,2.012,2.0592,2.011,2.0343,58537.0,99737.0
2015-07-01,2.0451,2.0452,1.9985,2.0068,59264.0,102774.0
2015-06-30,2.00342,2.07208,1.9976,2.05744,48126.4,81935.6
2015-06-29,2.02404,2.03648,1.99542,2.0141,40901.0,66389.6
2015-06-26,2.0245,2.04644,2.0062,2.03726,30807.6,51540.8
2015-06-25,2.04524,2.06548,2.0084,2.03114,35959.0,40301.0
2015-06-24,2.085,2.1092,2.044,2.0555,40219.0,34481.0
2015-06-23,2.0345,2.0937,2.0035,2.0766,40937.0,38251.0
