Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,887.25,896.0,885.75,891.0,106745.0,332082.0
2015-10-06,879.25,895.5,879.25,888.0,120723.0,339607.0
2015-10-05,874.0,886.0,872.0,884.25,99386.0,345293.0
2015-10-02,877.0,882.0,868.25,874.25,159126.0,348203.0
2015-10-01,891.5,899.25,876.75,877.25,159374.0,362761.0
2015-09-30,883.5,902.25,881.25,892.0,180141.0,365610.0
2015-09-29,876.25,884.75,873.5,884.25,95873.0,371625.0
2015-09-28,888.0,892.0,875.75,876.75,110579.0,382579.0
2015-09-25,869.0,890.0,869.0,889.25,142744.0,386310.0
2015-09-24,863.0,869.25,858.0,868.0,101714.0,383886.0
2015-09-23,861.25,869.5,861.0,863.75,95252.0,383932.0
2015-09-22,871.25,873.5,861.0,861.75,105437.0,383368.0
2015-09-21,868.0,877.25,865.0,874.25,90340.0,384567.0
2015-09-18,883.75,886.5,866.5,867.25,110228.0,381796.0
2015-09-17,886.75,890.5,880.5,884.5,73124.0,383182.0
2015-09-16,889.0,894.5,883.25,887.25,116104.0,383492.0
2015-09-15,886.5,894.5,883.0,889.0,98921.0,380962.0
2015-09-14,874.5,888.5,874.5,884.25,100400.0,380352.0
2015-09-11,874.5,878.0,853.25,874.25,167636.0,372827.0
2015-09-10,871.5,879.25,868.5,874.0,87401.0,374864.0
2015-09-09,875.0,885.75,870.75,872.25,100852.0,376976.0
2015-09-08,870.0,884.75,868.75,879.25,105411.0,380453.0
2015-09-04,869.25,875.75,865.25,866.5,60501.0,381744.0
2015-09-03,874.75,882.5,868.25,869.5,102817.0,379957.0
2015-09-02,874.0,880.25,865.0,874.0,107597.0,379705.0
2015-09-01,885.0,886.75,868.5,874.0,93051.0,379144.0
2015-08-31,885.85,890.4,872.95,889.5,77021.2,299011.2
2015-08-28,882.9,891.55,879.35,888.6,65113.8,227307.0
2015-08-27,874.1,890.15,874.1,883.35,60325.6,155886.6
2015-08-26,889.6,895.2,874.4,875.2,32625.0,87933.2
2015-08-25,893.0,908.0,887.0,894.25,13842.0,23449.0
2015-08-24,899.5,906.25,874.0,892.75,17432.0,29673.0
2015-08-21,920.0,921.0,903.75,905.25,18585.0,40709.0
2015-08-20,904.75,923.0,898.25,921.5,15500.0,42472.0
2015-08-19,913.0,917.25,899.75,903.5,15053.0,42389.0
2015-08-18,925.25,929.25,912.25,913.25,13274.0,43187.0
2015-08-17,920.0,933.5,919.25,927.0,9254.0,45107.0
2015-08-14,938.5,938.5,921.75,925.25,9182.0,45353.0
2015-08-13,920.25,938.0,920.0,936.25,13826.0,46601.0
2015-08-12,981.0,985.0,911.0,918.5,38139.0,46505.0
2015-08-11,1004.5,1005.0,978.75,981.0,16734.0,47657.0
2015-08-10,979.0,1009.5,977.75,1008.25,17097.0,49245.0
2015-08-07,956.0,977.25,952.0,975.5,13152.0,50284.0
2015-08-06,962.25,965.5,952.75,956.0,16746.0,50024.0
2015-08-05,949.0,964.25,948.5,962.75,14424.0,50651.0
2015-08-04,944.25,957.0,942.75,948.75,12608.0,50427.0
2015-08-03,951.25,953.5,939.5,945.0,18388.0,49962.0
2015-07-31,970.8,972.25,957.0,958.75,15161.8,42200.2
2015-07-30,966.7,983.2,966.7,974.8,25902.0,36606.8
2015-07-29,968.75,979.65,962.85,972.6,25941.4,32529.2
2015-07-28,958.7,972.65,958.5,970.6,23491.6,31648.4
2015-07-27,988.0,988.25,959.75,961.25,26490.0,35233.0
2015-07-24,1010.5,1011.25,988.75,991.25,37448.0,53520.0
2015-07-23,1021.25,1029.0,1004.25,1010.0,37712.0,63475.0
2015-07-22,1018.75,1027.5,1011.5,1020.75,38583.0,68738.0
2015-07-21,1011.0,1020.0,1008.25,1018.75,26536.0,69292.0
2015-07-20,1012.0,1012.75,998.25,1007.75,20428.0,73938.0
2015-07-17,1016.5,1021.25,1007.5,1014.75,17509.0,75991.0
2015-07-16,1027.25,1038.25,1015.25,1019.0,20526.0,77773.0
2015-07-15,1030.0,1035.0,1014.25,1025.0,25160.0,80119.0
2015-07-14,1039.5,1053.25,1030.5,1033.5,27096.0,80574.0
2015-07-13,1030.5,1040.5,1021.0,1037.5,15680.0,79878.0
2015-07-10,1026.25,1048.25,1022.0,1032.0,32055.0,81327.0
2015-07-09,996.0,1033.75,995.75,1026.25,29194.0,80042.0
2015-07-08,994.0,1008.0,987.25,996.75,25817.0,84120.0
2015-07-07,1021.0,1025.75,989.25,992.0,44671.0,87894.0
2015-07-06,1032.0,1032.0,1017.0,1022.25,28060.0,90285.0
2015-07-02,1040.0,1047.25,1029.0,1038.25,34197.0,91695.0
2015-07-01,1047.0,1054.75,1032.5,1040.75,40766.0,91649.0
2015-06-30,994.9,1052.85,987.15,1050.85,63719.4,75969.8
2015-06-29,994.55,1010.7,992.15,997.7,50699.2,64585.0
2015-06-26,994.0,1019.4,992.65,1000.3,86968.4,73690.4
2015-06-25,978.05,999.9,977.0,997.6,79548.8,82276.4
2015-06-24,987.25,990.5,979.0,981.75,79991.0,96931.0
2015-06-23,989.5,996.0,978.0,987.5,106161.0,110895.0
2015-06-22,972.5,990.0,971.5,989.5,95871.0,129869.0
2015-06-19,976.0,981.5,966.5,971.5,100999.0,147149.0
2015-06-18,967.0,981.75,962.0,977.75,139085.0,166965.0
2015-06-17,957.5,972.0,957.5,969.0,135639.0,186446.0
2015-06-16,939.0,959.0,938.75,957.5,129321.0,202038.0
2015-06-15,940.0,943.75,930.25,937.75,111951.0,208871.0
2015-06-12,939.0,947.0,933.25,940.0,113082.0,230230.0
2015-06-11,947.25,953.0,938.0,940.0,129178.0,245167.0
2015-06-10,951.5,957.75,944.5,949.5,151167.0,267725.0
2015-06-09,946.0,955.0,943.25,951.5,133731.0,289148.0
2015-06-08,938.25,951.0,935.25,944.25,109019.0,302209.0
2015-06-05,944.5,952.0,935.25,937.75,127758.0,320936.0
2015-06-04,934.75,948.75,932.0,946.5,114961.0,331033.0
2015-06-03,941.5,945.5,931.5,935.25,128209.0,342786.0
2015-06-02,926.0,944.5,925.25,940.75,117849.0,350193.0
2015-06-01,931.0,935.0,921.5,926.0,114036.0,351808.0
2015-05-29,926.0,937.5,924.75,934.0,112302.0,349786.0
2015-05-28,927.0,934.25,922.0,926.0,107786.0,350183.0
2015-05-27,922.0,931.75,922.0,927.0,106502.0,348360.0
2015-05-26,923.75,930.5,920.5,922.5,106157.0,354097.0
2015-05-22,938.0,942.5,922.75,924.25,115004.0,352191.0
2015-05-21,941.25,946.5,936.5,938.5,90411.0,351502.0
2015-05-20,946.25,947.25,936.5,941.25,92951.0,352951.0
2015-05-19,953.25,956.0,942.0,946.25,118985.0,356614.0
2015-05-18,953.25,964.5,950.0,954.5,88257.0,357550.0
2015-05-15,957.25,961.25,950.25,953.25,93072.0,360217.0
2015-05-14,957.5,962.25,953.0,957.0,98198.0,365150.0
2015-05-13,956.5,962.75,954.25,957.25,114363.0,368280.0
2015-05-12,973.5,981.5,955.0,955.5,170408.0,367658.0
2015-05-11,976.0,982.0,972.25,974.0,68481.0,365060.0
2015-05-08,974.25,978.5,969.25,976.25,78674.0,365658.0
2015-05-07,982.75,984.75,972.5,975.0,85027.0,370591.0
2015-05-06,984.0,990.5,978.0,982.5,104024.0,370298.0
2015-05-05,975.75,986.75,974.25,984.75,116891.0,367800.0
2015-05-04,964.75,978.75,962.75,976.25,99907.0,361582.0
2015-05-01,978.0,979.0,961.25,964.75,91920.0,364846.0
2015-04-30,988.0,995.45,973.0,976.5,120211.2,295966.4
2015-04-29,977.15,989.3,973.25,988.2,103097.0,234032.4
2015-04-28,972.1,988.3,972.0,977.4,121598.8,178700.6
2015-04-27,967.8,979.15,965.1,973.0,74439.0,127928.8
2015-04-24,978.0,981.0,966.75,969.75,61608.0,109417.0
2015-04-23,971.25,983.0,971.0,978.25,82360.0,120913.0
2015-04-22,973.75,976.5,965.25,970.5,107593.0,138943.0
2015-04-21,976.75,977.0,968.75,975.25,67681.0,148971.0
2015-04-20,968.0,981.0,967.5,977.5,108842.0,170762.0
2015-04-17,965.25,972.5,963.0,968.75,90111.0,181989.0
2015-04-16,964.0,970.25,955.5,966.0,89590.0,210049.0
2015-04-15,959.25,976.75,958.75,965.0,154854.0,235582.0
2015-04-14,948.75,961.5,948.5,960.25,141580.0,261498.0
2015-04-13,948.0,957.5,945.75,948.75,103240.0,273410.0
2015-04-10,954.0,958.5,944.5,951.5,125165.0,280951.0
2015-04-09,971.25,972.0,950.25,953.5,169506.0,281257.0
2015-04-08,971.0,975.0,967.75,971.5,107951.0,290388.0
2015-04-07,977.75,984.0,970.0,971.0,107166.0,292860.0
2015-04-06,985.0,990.25,978.0,978.5,59766.0,301337.0
2015-04-02,988.0,993.0,980.75,986.0,99735.0,311987.0
2015-04-01,973.25,991.75,972.75,989.75,152669.0,321453.0
2015-03-31,967.0,981.0,951.25,973.25,163325.0,322399.0
2015-03-30,968.0,976.75,965.0,967.75,79634.0,325585.0
2015-03-27,974.0,976.25,965.0,967.25,92651.0,324777.0
2015-03-26,977.0,981.5,972.0,974.5,100902.0,326466.0
2015-03-25,982.75,987.75,978.0,978.75,112380.0,325879.0
