Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,157.90625,158.0,156.6875,157.65625,202720.0,504458.0
2015-10-06,157.28125,157.96875,156.71875,157.8125,204448.0,506009.0
2015-10-05,158.78125,159.15625,157.09375,157.25,177156.0,504364.0
2015-10-02,157.90625,160.625,157.46875,158.8125,327364.0,493210.0
2015-10-01,157.8125,158.59375,157.03125,157.8125,223142.0,494676.0
2015-09-30,157.84375,157.875,156.75,157.34375,251044.0,495848.0
2015-09-29,157.3125,158.15625,156.75,157.90625,271079.0,490407.0
2015-09-28,155.625,157.65625,155.46875,157.53125,216864.0,488245.0
2015-09-25,156.3125,156.65625,155.125,155.4375,254861.0,496324.0
2015-09-24,155.5,157.5,155.40625,156.6875,278139.0,497449.0
2015-09-23,155.40625,156.25,154.6875,155.625,192031.0,493690.0
2015-09-22,153.75,156.03125,153.71875,155.75,219360.0,498474.0
2015-09-21,155.625,155.71875,153.375,153.5,176154.0,490244.0
2015-09-18,153.59375,155.84375,153.5625,155.75,275269.0,500635.0
2015-09-17,152.03125,153.75,151.90625,153.125,218296.0,505812.0
2015-09-16,152.34375,152.90625,151.78125,151.8125,191889.0,510415.0
2015-09-15,154.8125,155.3125,152.1875,152.40625,231083.0,501220.0
2015-09-14,154.65625,155.5,154.46875,154.96875,130329.0,493599.0
2015-09-11,153.78125,155.1875,153.625,154.8125,170704.0,497871.0
2015-09-10,154.375,154.65625,153.5625,153.78125,240391.0,493926.0
2015-09-09,154.25,154.84375,152.4375,154.65625,537890.0,496957.0
2015-09-08,155.8125,155.875,153.6875,153.9375,177761.0,497160.0
2015-09-04,154.625,156.0625,154.5,155.8125,251884.0,500104.0
2015-09-03,154.125,154.90625,153.71875,154.46875,170348.0,499235.0
2015-09-02,155.0,155.34375,153.875,154.0,186881.0,502086.0
2015-09-01,154.09375,155.5625,153.75,154.625,265559.0,495128.0
2015-08-31,154.975,156.55,154.2625,154.925,212222.0,393814.4
2015-08-28,155.44375,156.94375,155.24375,155.81875,217221.8,319852.0
2015-08-27,155.51875,156.50625,154.9,156.275,380240.6,287639.4
2015-08-26,158.58125,158.99375,155.1125,155.7375,481398.0,341437.6
2015-08-25,160.375,160.65625,157.625,157.71875,495564.0,462247.0
2015-08-24,160.875,163.03125,159.8125,160.90625,506848.0,501248.0
2015-08-21,160.28125,160.84375,159.625,160.1875,305323.0,520352.0
2015-08-20,158.84375,160.3125,158.78125,160.09375,248459.0,516284.0
2015-08-19,157.78125,159.1875,156.9375,158.8125,295655.0,514863.0
2015-08-18,158.6875,159.3125,157.53125,157.71875,379512.0,511681.0
2015-08-17,158.1875,159.34375,158.09375,159.09375,168091.0,510086.0
2015-08-14,157.90625,158.65625,157.375,158.125,171888.0,517513.0
2015-08-13,158.1875,158.78125,157.46875,157.90625,330386.0,520931.0
2015-08-12,158.71875,160.6875,158.125,158.625,322518.0,525293.0
2015-08-11,156.875,159.34375,156.8125,158.8125,294569.0,521601.0
2015-08-10,158.625,158.6875,156.625,156.78125,188469.0,523637.0
2015-08-07,157.0,158.71875,156.375,158.53125,274630.0,515767.0
2015-08-06,155.6875,157.09375,155.4375,156.71875,181354.0,521486.0
2015-08-05,156.65625,156.90625,155.21875,155.65625,254277.0,522832.0
2015-08-04,157.65625,157.875,156.5,156.875,206900.0,521916.0
2015-08-03,156.40625,157.9375,156.125,157.59375,228656.0,519657.0
2015-07-31,155.25,156.65625,154.8125,155.9375,285714.0,513008.0
2015-07-30,154.15625,155.46875,153.40625,155.15625,249077.0,509171.0
2015-07-29,154.78125,154.96875,153.875,154.375,185940.0,507027.0
2015-07-28,155.34375,155.40625,154.34375,154.875,187248.0,515573.0
2015-07-27,154.71875,155.84375,154.71875,155.1875,196080.0,519727.0
2015-07-24,154.5625,155.09375,154.375,154.59375,246222.0,522452.0
2015-07-23,153.15625,154.71875,152.78125,154.46875,231769.0,512999.0
2015-07-22,152.59375,153.46875,152.375,153.1875,202555.0,507648.0
2015-07-21,151.96875,152.65625,150.96875,152.3125,204115.0,502914.0
2015-07-20,152.0625,152.5,151.375,151.75,182141.0,496466.0
2015-07-17,151.34375,152.34375,151.1875,152.09375,199931.0,487275.0
2015-07-16,150.65625,151.625,150.0,151.34375,425348.0,479030.0
2015-07-15,149.4375,150.96875,148.875,150.84375,207339.0,484578.0
2015-07-14,148.59375,149.65625,148.53125,149.53125,194302.0,490618.0
2015-07-13,150.3125,150.75,148.15625,149.15625,233852.0,488131.0
2015-07-10,151.09375,151.125,149.03125,149.09375,311718.0,492235.0
2015-07-09,154.25,154.65625,151.34375,151.59375,306425.0,496026.0
2015-07-08,152.90625,154.71875,152.875,154.125,265455.0,496603.0
2015-07-07,151.71875,154.4375,151.28125,153.5,349958.0,488025.0
2015-07-06,151.9375,152.09375,149.09375,152.0625,266996.0,481067.0
2015-07-02,148.75,149.90625,147.8125,149.1875,238072.0,477766.0
2015-07-01,150.5,150.65625,148.40625,148.84375,244800.0,477901.0
2015-06-30,150.9375,151.5,150.03125,150.84375,294818.0,478174.0
2015-06-29,149.75,151.6875,149.21875,150.90625,324879.0,471402.0
2015-06-26,149.25,149.5,147.34375,147.5625,233529.0,476890.0
2015-06-25,149.90625,150.0625,148.875,149.5625,226150.0,478245.0
2015-06-24,148.84375,149.96875,148.78125,149.84375,223548.0,482886.0
2015-06-23,149.59375,149.71875,148.15625,148.8125,271463.0,480126.0
2015-06-22,151.75,151.78125,149.34375,149.71875,203386.0,476780.0
2015-06-19,150.0625,152.1875,150.0,151.90625,216734.0,476481.0
2015-06-18,150.65625,151.90625,149.1875,149.71875,327492.0,477268.0
2015-06-17,151.6875,151.875,149.5625,151.09375,257414.0,478923.0
2015-06-16,150.71875,151.6875,150.46875,151.5,182355.0,479060.0
2015-06-15,150.625,151.8125,150.1875,150.65625,195475.0,482532.0
2015-06-12,150.40625,151.6875,149.96875,150.46875,238628.0,491023.0
2015-06-11,147.8125,150.46875,147.53125,150.34375,305499.0,488635.0
2015-06-10,148.75,148.90625,147.5,147.9375,232483.0,482290.0
2015-06-09,149.71875,150.5,148.34375,149.125,208814.0,475120.0
2015-06-08,149.65625,150.5,149.53125,150.03125,150235.0,477998.0
2015-06-05,151.34375,151.375,149.0,149.71875,290244.0,482178.0
2015-06-04,149.78125,151.625,148.59375,151.375,313615.0,478167.0
2015-06-03,151.96875,152.0625,149.28125,149.71875,301947.0,466344.0
2015-06-02,153.6875,153.875,151.46875,151.78125,251389.0,459334.0
2015-06-01,155.0,155.4375,153.15625,153.40625,252510.0,447100.0
2015-05-29,155.05,156.15,154.96875,155.9375,212238.0,362010.2
2015-05-28,155.70625,156.05,155.08125,155.425,237871.8,278868.0
2015-05-27,155.4625,156.15,154.73125,155.95,362445.2,255618.4
2015-05-26,153.80625,156.0375,153.60625,155.9125,419313.0,352708.6
2015-05-22,154.125,154.90625,153.46875,153.78125,238011.0,451286.0
2015-05-21,152.78125,154.46875,152.59375,154.40625,242007.0,463224.0
2015-05-20,152.25,153.3125,151.90625,152.71875,239230.0,472814.0
2015-05-19,153.25,154.40625,151.875,153.0,320413.0,473768.0
2015-05-18,155.53125,155.53125,153.1875,153.46875,205253.0,464674.0
2015-05-15,153.25,155.84375,153.1875,155.59375,258522.0,468127.0
2015-05-14,152.1875,153.5625,151.875,153.0,337772.0,463226.0
2015-05-13,153.65625,155.0625,152.28125,152.5625,365139.0,464344.0
2015-05-12,153.03125,154.28125,151.125,153.59375,347964.0,465781.0
2015-05-11,156.03125,156.65625,152.84375,153.1875,240888.0,455590.0
2015-05-08,155.75,157.375,155.3125,156.21875,305695.0,455409.0
2015-05-07,154.125,156.28125,153.0,155.96875,320498.0,457330.0
2015-05-06,155.875,156.15625,154.09375,154.3125,288411.0,443260.0
2015-05-05,156.5,157.3125,155.375,156.0625,284982.0,438188.0
2015-05-04,157.6875,158.15625,156.4375,156.78125,207867.0,436357.0
2015-05-01,159.6875,159.8125,157.4375,157.625,173872.0,432411.0
2015-04-30,159.59375,160.03125,158.25,159.59375,333863.0,437437.0
2015-04-29,160.65625,161.15625,158.6875,159.875,344067.0,430925.0
2015-04-28,162.84375,163.03125,160.71875,161.46875,220116.0,424128.0
2015-04-27,162.78125,163.28125,161.9375,162.84375,146643.0,425956.0
2015-04-24,161.65625,163.125,161.28125,162.5625,194158.0,436081.0
2015-04-23,161.40625,162.375,161.0625,162.03125,251024.0,440991.0
2015-04-22,163.46875,163.9375,160.96875,161.46875,302064.0,435381.0
2015-04-21,163.9375,164.75,163.21875,163.375,168510.0,437230.0
2015-04-20,164.90625,165.34375,163.625,163.78125,189671.0,443263.0
2015-04-17,163.65625,165.59375,163.3125,165.46875,264352.0,440857.0
2015-04-16,164.40625,164.9375,163.09375,164.125,287561.0,442423.0
2015-04-15,164.46875,165.09375,163.8125,164.09375,210015.0,447213.0
2015-04-14,163.65625,165.8125,163.59375,164.375,247489.0,441589.0
2015-04-13,163.46875,163.9375,162.59375,163.46875,161835.0,441961.0
2015-04-10,163.1875,164.375,163.0,163.5,169827.0,441466.0
2015-04-09,164.65625,165.34375,162.90625,163.25,229925.0,435600.0
2015-04-08,164.875,165.21875,163.65625,164.9375,189978.0,435215.0
2015-04-07,163.9375,164.96875,163.59375,164.625,163013.0,435726.0
2015-04-06,165.75,165.8125,163.5,163.75,109192.0,432137.0
2015-04-02,166.0,166.65625,164.28125,164.5625,166412.0,439790.0
2015-04-01,164.03125,166.34375,163.5625,165.8125,225635.0,425860.0
2015-03-31,163.71875,164.15625,163.15625,163.875,200583.0,430926.0
2015-03-30,164.0625,164.34375,163.25,163.46875,139866.0,432523.0
2015-03-27,162.84375,164.46875,162.53125,164.40625,193040.0,430826.0
