Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,3087.0,3145.0,3052.0,3079.0,22027.0,80909.0
2015-10-06,3078.0,3094.0,3071.0,3092.0,14685.0,82705.0
2015-10-05,3095.0,3105.0,3069.0,3092.0,18653.0,83201.0
2015-10-02,3105.0,3122.0,3087.0,3095.0,17639.0,87380.0
2015-10-01,3120.0,3157.0,3094.0,3105.0,18863.0,90249.0
2015-09-30,3169.0,3191.0,3109.0,3114.0,24723.0,92537.0
2015-09-29,3243.0,3250.0,3171.0,3182.0,21637.0,94698.0
2015-09-28,3280.0,3284.0,3224.0,3242.0,18567.0,95210.0
2015-09-25,3304.0,3308.0,3257.0,3276.0,15529.0,94022.0
2015-09-24,3314.0,3314.0,3271.0,3293.0,20910.0,96215.0
2015-09-23,3312.0,3322.0,3285.0,3315.0,14735.0,95833.0
2015-09-22,3311.0,3328.0,3279.0,3312.0,15531.0,95374.0
2015-09-21,3317.0,3325.0,3300.0,3311.0,7904.0,95017.0
2015-09-18,3292.0,3341.0,3292.0,3311.0,15197.0,93889.0
2015-09-17,3263.0,3288.0,3249.0,3282.0,12539.0,92640.0
2015-09-16,3250.0,3285.0,3248.0,3267.0,17046.0,92613.0
2015-09-15,3284.0,3287.0,3222.0,3238.0,17771.0,93477.0
2015-09-14,3260.0,3288.0,3249.0,3286.0,11298.0,92957.0
2015-09-11,3273.0,3291.0,3230.0,3254.0,12861.0,93270.0
2015-09-10,3270.0,3295.0,3253.0,3276.0,16129.0,92690.0
2015-09-09,3234.0,3278.0,3227.0,3270.0,18291.0,91786.0
2015-09-08,3205.0,3230.0,3203.0,3220.0,16346.0,91339.0
2015-09-04,3126.0,3192.0,3125.0,3168.0,26853.0,87329.0
2015-09-03,3112.0,3138.0,3100.0,3114.0,13638.0,86783.0
2015-09-02,3124.0,3142.0,3085.0,3117.0,12772.0,88432.0
2015-09-01,3110.0,3145.0,3105.0,3141.0,15691.0,89243.0
2015-08-31,3081.8,3112.2,3071.6,3099.6,9157.8,70736.6
2015-08-28,3126.8,3142.4,3065.2,3113.2,8798.6,53608.0
2015-08-27,3098.6,3114.4,3089.0,3110.8,3954.4,36272.2
2015-08-26,3100.2,3109.4,3085.0,3097.2,2560.2,18414.0
2015-08-25,3114.0,3121.0,3090.0,3113.0,38.0,608.0
2015-08-24,3039.0,3102.0,3010.0,3087.0,36.0,1074.0
2015-08-21,3126.0,3126.0,3077.0,3077.0,53.0,1124.0
2015-08-20,3098.0,3142.0,3094.0,3142.0,52.0,1180.0
2015-08-19,3096.0,3135.0,3081.0,3120.0,86.0,1276.0
2015-08-18,3048.0,3098.0,3048.0,3085.0,341.0,1758.0
2015-08-17,3036.0,3068.0,3021.0,3032.0,5645.0,4502.0
2015-08-14,3044.0,3057.0,3029.0,3039.0,5224.0,7640.0
2015-08-13,3016.0,3061.0,3000.0,3042.0,9922.0,12869.0
2015-08-12,3076.0,3087.0,3019.0,3035.0,16483.0,22491.0
2015-08-11,3094.0,3151.0,3027.0,3082.0,17951.0,30445.0
2015-08-10,3095.0,3103.0,3071.0,3095.0,16124.0,37648.0
2015-08-07,3055.0,3113.0,3027.0,3107.0,29123.0,57727.0
2015-08-06,3109.0,3117.0,3054.0,3057.0,25496.0,65353.0
2015-08-05,3159.0,3175.0,3093.0,3120.0,27410.0,74559.0
2015-08-04,3164.0,3188.0,3155.0,3165.0,22829.0,80646.0
