Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-10-07,13.61,14.02,13.53,13.98,97856.0,441243.0
2015-10-06,13.61,13.67,13.42,13.63,60504.0,444719.0
2015-10-05,13.51,13.67,13.39,13.64,56684.0,448692.0
2015-10-02,13.26,13.55,13.24,13.53,75199.0,452009.0
2015-10-01,12.87,13.27,12.87,13.26,81401.0,448498.0
2015-09-30,12.482,12.87,12.434,12.738,85849.6,363577.4
2015-09-29,12.024,12.472,11.84,12.18,68767.6,280111.2
2015-09-28,11.974,12.108,11.898,12.002,44839.8,208805.8
2015-09-25,11.394,11.904,11.394,11.874,44734.6,141668.6
2015-09-24,10.95,11.2,10.86,11.19,28873.0,78262.0
2015-09-23,10.89,11.22,10.89,10.95,25714.0,89832.0
2015-09-22,10.95,11.05,10.8,10.88,23665.0,99326.0
2015-09-21,11.07,11.17,10.91,10.93,21479.0,108752.0
2015-09-18,11.44,11.67,10.94,10.96,52313.0,131243.0
2015-09-17,11.47,11.64,11.37,11.44,28042.0,141869.0
2015-09-16,11.3,11.58,11.19,11.47,55734.0,150275.0
2015-09-15,11.46,11.62,11.23,11.4,94281.0,197503.0
2015-09-14,11.69,11.74,11.42,11.5,95514.0,240132.0
2015-09-11,11.27,11.73,11.27,11.66,128841.0,274769.0
2015-09-10,11.4,11.42,11.14,11.33,99992.0,299212.0
2015-09-09,11.14,11.48,11.08,11.43,103794.0,308788.0
2015-09-08,11.15,11.43,11.05,11.07,95845.0,330181.0
2015-09-04,11.39,11.64,11.15,11.27,100705.0,351596.0
2015-09-03,10.74,11.39,10.73,11.34,114305.0,363118.0
2015-09-02,10.68,11.09,10.64,10.73,86514.0,371081.0
2015-09-01,10.7,10.8,10.6,10.71,53842.0,369306.0
2015-08-31,10.96,10.97,10.56,10.69,66238.0,367189.0
2015-08-28,11.11,11.17,10.83,10.97,78561.0,380568.0
2015-08-27,10.6,11.1,10.57,11.06,107695.0,400643.0
2015-08-26,10.6,10.67,10.46,10.53,57793.0,407706.0
2015-08-25,10.48,10.74,10.48,10.6,73208.0,414152.0
2015-08-24,10.3,10.44,10.13,10.39,68535.0,422153.0
2015-08-21,10.62,10.64,10.41,10.44,44063.0,422517.0
2015-08-20,10.64,10.65,10.44,10.62,44358.0,423839.0
2015-08-19,10.73,10.8,10.57,10.59,42136.0,425204.0
2015-08-18,10.63,10.93,10.51,10.73,60594.0,436779.0
2015-08-17,10.7,10.7,10.55,10.63,31429.0,441679.0
2015-08-14,10.5,10.72,10.5,10.68,40643.0,442632.0
2015-08-13,10.6,10.65,10.46,10.49,39207.0,443962.0
2015-08-12,10.66,10.73,10.44,10.54,51950.0,443791.0
2015-08-11,10.6,10.71,10.37,10.62,62525.0,445495.0
2015-08-10,10.62,10.64,10.37,10.57,57809.0,450219.0
2015-08-07,10.75,10.96,10.63,10.66,69058.0,448436.0
2015-08-06,10.7,10.84,10.64,10.7,49443.0,449261.0
2015-08-05,11.04,11.07,10.74,10.76,41418.0,449951.0
2015-08-04,10.89,11.04,10.79,11.01,43743.0,454917.0
2015-08-03,11.19,11.19,10.84,10.89,59240.0,452384.0
2015-07-31,11.27,11.33,11.12,11.14,54674.0,458885.0
2015-07-30,11.55,11.64,11.25,11.27,51769.0,458690.0
2015-07-29,11.22,11.61,11.22,11.46,56225.0,458141.0
2015-07-28,11.29,11.37,11.16,11.17,40205.0,459871.0
2015-07-27,11.35,11.42,11.17,11.24,50307.0,467043.0
2015-07-24,11.55,11.66,11.2,11.24,50661.0,465545.0
2015-07-23,11.39,11.55,11.35,11.51,54276.0,459401.0
2015-07-22,11.49,11.55,11.37,11.38,38282.0,457318.0
2015-07-21,11.55,11.72,11.38,11.42,65989.0,454789.0
2015-07-20,11.81,11.87,11.35,11.44,88617.0,451476.0
2015-07-17,12.23,12.26,11.92,11.96,54820.0,452711.0
2015-07-16,12.41,12.47,12.16,12.27,46831.0,456174.0
2015-07-15,12.61,12.61,12.41,12.46,44915.0,458551.0
2015-07-14,12.56,12.8,12.55,12.64,57069.0,466565.0
2015-07-13,12.5,12.63,12.33,12.56,47037.0,468378.0
2015-07-10,11.9,12.44,11.9,12.41,62516.0,469983.0
2015-07-09,12.3,12.43,11.84,11.9,74286.0,475887.0
2015-07-08,12.27,12.5,12.21,12.31,67605.0,478445.0
2015-07-07,12.47,12.69,12.19,12.33,74148.0,485554.0
2015-07-06,12.3,12.57,12.15,12.48,64778.0,488149.0
2015-07-02,12.44,12.68,12.24,12.3,98534.0,503460.0
2015-07-01,12.4,12.57,12.3,12.44,76438.0,517331.0
2015-06-30,12.1,12.448,12.036,12.432,62290.8,428103.0
2015-06-29,11.8,12.082,11.71,11.97,41834.2,327465.2
2015-06-26,11.684,11.958,11.556,11.782,54719.4,230422.6
2015-06-25,11.6,11.752,11.508,11.59,45423.8,143785.2
2015-06-24,11.19,11.55,11.18,11.51,30633.0,64284.0
2015-06-23,11.45,11.49,11.17,11.25,34286.0,89212.0
2015-06-22,11.2,11.49,11.19,11.48,39828.0,104956.0
2015-06-19,11.26,11.28,11.1,11.12,21351.0,110636.0
2015-06-18,11.37,11.45,11.24,11.25,24899.0,122124.0
2015-06-17,11.31,11.45,11.3,11.35,28678.0,132506.0
2015-06-16,11.46,11.54,11.3,11.31,49590.0,156242.0
2015-06-15,11.65,11.66,11.44,11.46,52614.0,187152.0
2015-06-12,11.68,11.77,11.65,11.72,69850.0,222501.0
2015-06-11,11.97,12.01,11.61,11.64,133101.0,253301.0
2015-06-10,12.08,12.23,12.0,12.01,109910.0,294103.0
2015-06-09,12.15,12.26,12.01,12.07,90695.0,331270.0
2015-06-08,12.09,12.25,12.06,12.16,78778.0,359520.0
2015-06-05,12.12,12.18,11.89,12.05,71233.0,378741.0
2015-06-04,12.05,12.23,12.02,12.12,41838.0,389833.0
